owner_name,view,share,reply,like,coin,favorite,danmaku,videos,duration,fan
维立方电影先锋,7694987,4703,16399,5274,10974,31156,19908,165,42367,87188
魏哥说电影,7638017,3323,15171,25105,5051,21609,14602,228,55614,26582
哔哩啪啦影视,7595367,6936,19323,20787,5665,21516,12724,247,61473,14860
警长说电影,7494872,6370,12173,46660,10141,33605,11708,335,114249,30813
晓麦说电影,7494357,2603,17636,23069,3216,21941,13905,173,39829,12042
问舰科幻,7451457,19982,29319,51382,142088,59779,48254,77,40277,206341
哇哇哇妹,7356313,50552,54700,233433,130691,84415,130188,54,21200,218789
贵妃说电影,7350028,2325,20979,15030,2767,22882,14025,252,48204,13529
丽姐说电影,7252549,2485,13370,31649,5612,37611,11064,373,84135,14075
夏天姐说电影,7125213,2895,15677,33577,10481,29436,10733,206,50033,16342
我是兽兽不是受受丶,7122188,5225,35973,24966,11164,29292,19694,112,22747,26917
猎影娘,7072429,24534,39250,149901,409674,85784,68605,68,50760,207387
电影爆博士,7057153,26256,52730,94528,115059,59181,62985,111,68089,157101
我是大力侃电影,7046580,1260,9950,15635,2126,12693,8798,125,25656,7508
名字说电影,7032953,2385,11664,18538,3430,23198,10530,174,45109,17248
上官陈富贵,7004709,21501,27173,135476,127457,37840,65922,68,37603,151577
小儛电影嘚啵嘚,6986420,3944,26088,18194,5568,32809,15006,342,87994,17713
电影麋鹿,6969710,2250,21956,16086,2980,13592,13657,152,20798,7823
哇噻王美丽,6965171,3458,19785,49164,17605,25434,14592,203,54742,35961
爱吃素的汉尼拔,6853807,7912,16920,76565,61040,24040,21789,113,35206,67478
好像视说故事,6823233,2766,14967,20410,7216,27148,10471,160,45345,21509
电影笔记,6818567,7650,23265,87484,44788,34760,23536,214,78381,132329
老烟斗看电影,6780230,8124,20707,81638,28398,34585,26863,119,54219,126248
细说电影,6772901,10375,20859,64243,44720,34678,19506,74,27829,76188
北大落说大片,6712373,5563,10417,42543,15308,22118,13528,169,49433,57336
爱好恐怖片的美男子,6711304,11039,21896,45816,78598,27491,49682,74,37987,173911
八月看大片,6694530,7748,19265,10100,29904,44439,31859,126,57081,131173
不吐不快酱半碗,6679318,48725,55546,236461,96507,221692,93214,45,16735,175378
龙斌大话电影,6673274,7596,23983,4127,70887,31531,119011,105,84042,166038
动作Movie,6618205,2601,13507,11918,2785,28885,6697,202,34491,25540
辣椒影评馆,6608395,3492,15562,18030,11980,30838,25220,56,21990,22669
汪哥说电影X,6605029,1947,10237,30461,5643,26394,5053,408,77093,12307
一色摆白电影,6556607,6542,13712,40102,17781,54319,15461,162,53442,35138
娇羞大长腿,6499825,2219,9337,26434,4171,29040,9620,171,42698,13986
橙子爱电影NEW,6495095,1849,10693,19110,2687,23241,7824,209,60526,9935
三分钟说电影,6427123,1508,7974,15585,4697,17853,4839,71,17233,30266
婷婷的小暖炉,6395974,6668,19668,134716,78440,26612,20579,128,45353,116616
文西与阿漆,6381750,27847,14964,96317,42453,25311,21017,85,14858,123646
地下11楼的森崎,6371695,17549,17601,58338,133691,34123,47762,65,33970,193025
小强说说,6275950,3659,17116,56770,24405,22851,19894,118,38651,52578
四季电影,6275580,6466,13101,10910,2563,26670,9374,56,10648,15714
阿九说,6260549,2464,9692,15367,3782,24046,4881,230,46975,22935
八卦影视,6236481,1275,2354,8665,1393,20259,3285,51,10021,13583
梦梦梦丽苏游记,6212280,1768,20529,7812,1872,11694,3797,204,14846,7603
水母电影,6195995,3515,12253,19215,4977,31421,12687,144,35825,28175
羞羞的影评,6138757,6517,32910,48547,15949,26307,51137,272,105309,68807
北境钢铁侠,6138671,4272,19250,18279,6923,13062,11388,98,26675,20018
口袋电影君,6096958,6389,53787,43260,16885,21362,78166,161,183739,63215
我叫小少年,6085418,4008,11601,6809,19430,31378,13193,89,25568,68200
宋先森影剧,6052380,6071,15854,36103,10009,23023,15116,210,63617,37517
嗯哼嗯哼王二哈,6026460,2224,9392,39268,12655,26847,11340,81,24618,66715
8点影视,5991932,1527,8798,9849,862,6501,7431,263,44973,2131
码哥与马也的日常,5980955,3708,14010,31699,10433,24617,14994,241,63948,255439
星星糖电影,5975204,2870,14751,16661,3472,16015,7452,251,35428,7256
快看张不止,5971721,1929,17913,33472,12061,19729,17846,172,50264,54912
代娱浅水游,5951600,2691,15272,62699,38976,27845,12435,111,44374,41946
小白瞅电影,5913784,7131,15121,56454,34424,22558,19583,101,48519,67468
大坑书记,5887684,4572,9506,57417,42337,32339,18304,49,29528,126016
张猫要练嘴皮子,5820006,20453,22278,63456,41197,32160,33720,128,36740,162452
谁语Whospeak,5813352,5188,16594,72843,52014,36891,19180,210,73280,76126
电影大虾米,5801386,3720,20410,11049,1983,6585,8606,106,15602,2164
昏昏啊_,5777522,7363,15384,10539,21513,37234,22160,61,20522,107016
微缩电影,5755171,17610,21294,6934,73066,71634,36848,58,35529,176489
电影新姿势,5697448,5299,17160,9291,8818,37832,16996,316,95929,54485
呆呆向钱冲i,5648589,1514,3016,10635,2222,17499,2902,82,30425,15219
果木强,5629945,5016,15876,20745,8718,26841,14759,132,45024,28386
晓猫说电影,5510811,2010,7282,12992,2715,18605,8680,182,44824,8445
一只西瓜啊_,5507869,5387,14161,4257,16931,29818,15885,69,18838,90401
六石映像,5495953,2303,37961,27886,6386,11185,9170,317,47339,13156
欣欣观影,5491751,1377,6983,6427,1524,10424,4921,225,34882,7592
指缝里看电影,5435721,10299,16023,43669,18097,49793,12149,97,47022,31946
黑猫叔,5387063,3996,7457,4019,33724,21973,24647,56,20947,111406
墨影观影,5367513,1623,8902,20391,4558,18032,6871,214,51433,8296
猪猪说电影,5314876,922,6965,17370,1875,13285,4871,762,118682,6969
阿猛追剧啦,5305401,1817,6285,18645,1870,48251,8079,35,8374,35879
小春电影,5246810,6445,8343,18589,17449,44019,10880,185,66746,47650
贵妃醉电影,5143511,2386,6423,21882,3243,17364,5095,172,31327,6113
七格格讲故事,5100339,3123,11721,18927,3917,22033,4892,81,17578,11256
老湿alwayswet,5065554,5478,5216,5168,31548,16429,21904,21,6029,312292
沂沐,5033262,9543,27740,32318,78893,27190,42598,81,34293,128400
小谷爱电影,5016620,2648,9858,20005,4946,23336,6630,100,31220,17468
七哥说电影,5016360,774,2602,6237,800,12670,2471,102,20803,7507
优崽吐槽会,4999894,26612,26878,199108,76667,123608,63753,135,41237,83577
嫦娥撩电影,4996049,898,6405,12735,1847,12100,4541,85,12896,10617
电影撩客,4988708,1479,12618,7324,2441,28610,5726,147,48148,26663
鹌娱馆,4986294,3126,11520,20910,8319,17109,9401,130,35549,17652
马桶吐槽,4974650,13612,11386,47134,30908,35904,24823,61,29037,95555
电影小镇,4889597,16660,44783,26204,53172,47441,30724,128,42996,91199
星君说电影,4870875,2097,7130,14471,4463,22820,7635,33,9504,74623
闹闹看片,4867273,2511,10577,12370,6591,21954,6804,162,37793,37131
老酱说电影,4860395,1637,10688,7733,2133,17801,4822,198,38521,19392
木易影咖,4853045,1212,10996,14307,4235,13817,5370,173,33801,4961
大锤电影,4842562,1244,8892,10432,3808,19291,6992,85,17230,22032
海王星电影,4816396,1471,4793,6449,1122,16678,3239,18,3520,8080
据说放映,4814641,2311,18897,76794,37696,22360,13728,121,46619,50212
狂野的种马小说家,4799860,8405,17799,56101,37580,25299,12081,76,27539,101955
看电影听鬼话,4764135,5795,19575,41471,16499,19654,14646,278,70134,65113
悟空闹电影,4762885,2853,6570,26894,4425,23257,9913,13,2657,38948
骑毛驴的八戒,4753223,5011,8337,43739,32044,33772,15071,146,105843,49101
浪浪影咖,4733322,1432,6929,14571,1626,16548,6962,291,75063,5682
扒界说故事,4730836,1004,9794,15776,3424,13436,7819,286,61269,13040
小饭中年事件簿,4685700,8572,14713,66242,114013,50894,26214,41,30801,238387
小剧妖,4630503,499,4916,3171,324,1922,2129,228,26197,1349
抹油说,4618314,1266,9393,8050,1865,23878,5906,94,17449,8665
小影新片场,4616743,1390,10799,8442,1974,15524,7417,254,42226,9704
蛋蛋秀,4607529,12292,45352,81639,50773,17682,31416,159,40056,71413
林先生说电影,4593323,2160,12522,10385,2237,15926,6877,377,85760,9112
养心电影,4587731,2543,34886,12644,3024,11577,11378,252,39275,74193
迷妹说电影,4561213,2082,5109,9277,2548,19836,4110,111,31027,16359
用嘴看大片,4551432,3702,10592,33193,36919,14393,27530,121,52461,88357
东倾电影,4539197,8609,14114,66783,45290,37787,17181,140,70528,152395
肥罗说大片,4422280,1105,19372,4653,1140,3578,7345,225,30363,2340
亚食人,4412586,12947,23465,87169,89585,43056,23773,48,19491,137825
闷烧哈士奇,4412449,1069,6147,28040,8541,14436,5810,386,144566,26952
张一碗儿,4357095,4088,6925,31190,30951,31689,12904,42,29212,50117
胖段段_fre,4357061,11623,6327,13406,13274,120705,93084,10,13830,152177
夜听背包,4332437,4342,15348,34650,38472,35180,30760,170,85449,59117
驴哥说电影,4267575,985,4364,11445,1409,14276,4037,211,41172,10513
名侦探拳头,4266715,30715,22045,66860,98737,74277,39183,58,48972,159165
天羽印象影视文化传媒,4248566,627,3620,3191,568,9366,3293,241,70958,8414
九筒Ninetone,4235183,13758,18099,74591,119889,39138,32151,55,28263,347449
小飞侠影视,4230160,1607,14629,9978,2816,10386,4665,87,12468,5138
阿瘾是条咸鱼,4201842,14341,16582,59621,59989,33964,19404,62,26975,78411
搞笑院长,4200905,3555,15673,16656,6034,17996,10160,178,53112,27966
鲁班爱看剧,4166896,1630,8466,22898,7475,16596,7202,228,85325,21046
咆哮解说黑鑫,4145312,580,4326,9629,1609,9325,3928,144,48523,3205
豆官儿看电影,4142257,3912,13051,10614,9185,20316,10549,84,23536,33373
萌仔讲电影,4112052,2181,5243,23969,3789,27752,4511,139,29685,8712
不洁超会玩,4052450,2639,23389,12176,2192,11978,5656,190,22900,4956
大蓝雀,4011513,7504,16633,57949,33074,29627,35274,146,77733,109231
小丁讲故事,3992497,840,3970,6245,981,11265,3671,183,37977,5805
小鬼律令,3969409,16918,13858,50041,46752,64037,18783,29,21931,50214
赖赖瓜,3920268,4635,15661,21860,22666,17615,24473,265,111628,41911
bilibili星访问,3910250,31914,17467,134605,110196,111406,38853,8,8074,306476
1900影剧室,3867011,12959,27898,82696,86162,76054,41384,84,62783,107284
听wo姐说,3861971,3021,14778,72147,55530,30533,16253,116,46095,60421
了不起的乌贼君,3846055,2546,6505,14353,6155,13096,7763,169,41281,119124
夜猫动画,3830842,2461,6670,31411,6697,34390,3819,126,25355,9379
猫小喵的幸福,3812975,750,3287,6804,3435,7267,1402,38,10220,4258
旧真电影,3812258,2426,8900,26439,7562,19057,8520,69,21159,29749
幻海航行,3791346,12360,20230,109337,118177,40997,27615,47,30976,122682
采采说电影,3782871,914,7996,9655,2618,11261,5448,197,54369,7713
电影怪婆婆,3714352,7051,9133,11798,14363,25239,17170,44,14946,114759
老烟斗鬼故事,3684234,6650,13983,17007,13765,17681,29343,46,25523,804722
会走的电脑,3669023,1431,20288,5885,1022,6507,3732,200,16959,6434
毒剧君,3668945,2366,5502,13205,6269,16324,8091,146,37264,40481
说书人阿龙,3659912,879,6378,8846,2377,9370,4956,151,41285,8371
沫子瞪片,3626418,6235,21891,164274,81154,71970,33038,68,28619,74005
键客行,3617731,25416,18479,27536,128165,36356,49561,21,20316,219419
少女奈酱,3578894,3495,10967,3150,21798,19426,12477,54,14850,90006
天聪君,3578011,14338,49131,126382,109679,61021,196761,40,45575,53586
数根朽木,3569720,5625,23283,49639,48998,30066,20652,128,122482,55341
一乐电影,3534480,2060,8200,6393,1843,17743,5785,213,43097,12875
樱桃说电影,3523766,631,6582,10520,1764,8821,4296,68,17457,4530
甜妹撩剧,3514542,1011,4362,17173,5216,10591,3907,102,25499,17295
貂蝉撩电影,3499623,1882,6270,22078,3377,17898,4071,177,40087,10228
今日影评,3497180,4862,31532,30875,11162,25138,19227,595,192991,19529
我是瓜皮儿本人,3488419,1487,8764,26243,15438,12692,10625,56,32256,29753
我真的是李昂斯,3456195,2751,6690,11881,8191,35403,5145,25,12834,13844
沫漾电影,3435173,5618,9869,35330,21402,28856,7646,48,23121,38102
电影频道融媒体中心,3429874,3247,22494,36419,9519,19486,13525,209,90160,15954
乐扒电影君,3429866,2293,8450,12934,7065,17499,6804,150,43803,45414
菊椒电影,3419595,7916,12377,87656,68189,22888,22495,70,37077,92388
花町公馆,3404871,3510,10561,49657,38816,17747,12563,59,19457,64817
灯泡兄弟影游谈,3376372,4499,8908,15757,7691,47822,23055,47,25804,187910
低调电影君,3349981,5350,9459,52363,31489,17182,13631,130,42799,39942
腐剧猫,3318041,3769,4760,19339,13617,27155,14214,79,35006,100566
法克说片,3301314,40375,20343,119496,143977,74479,71688,40,21887,105502
犀利影评,3299015,3909,14923,41176,54196,19977,16585,116,55240,52159
雷振雨电影,3297856,881,3142,5765,916,10992,2575,55,17089,3905
吃土吃上瘾了,3283128,1798,6495,9161,4406,14835,9265,211,61927,38740
夏季电影,3279482,554,1801,2994,394,5821,1076,19,2402,3371
书林趣话,3268643,595,9388,11979,2682,6999,12403,30,6351,12565
都说先生,3222464,2488,22745,51998,12411,12930,14589,33,12952,373808
狙击手麦克官方,3181129,1447,6750,3444,1984,17573,5149,30,6966,279858
一只熊熊熊大,3179921,1352,5556,13732,4519,11482,3901,62,17102,8237
全头电影说,3171414,1843,3550,4785,1874,28149,4826,24,6234,11631
死宅少女桃乐丝,3160495,1989,8001,43169,35255,11379,13006,73,35821,47807
阿钙扒瞎,3157276,1674,7410,10226,4910,13803,5280,87,20243,26861
