owner_mid,fan
109319230,68
4079592,300132
52659789,1
3226353,17
70320179,1
19504148,1794
98820241,132
95254024,1760
349261941,87
52752141,14
223972411,2664
20014464,1686
83534918,17
10282207,1517
399701626,31
383379746,13
288355134,4
324163592,5805
100942045,7
15162387,26
24675995,66
33488229,313320
195223577,60959
14335376,32
91459428,2164
108056870,62855
373999403,5
357373954,3
267386440,123
258534450,168
179164511,15523
295699547,3521
286161318,0
1758288,498
11701028,27
221846059,21
242128480,38102
397836164,9
91740821,76172
288273891,16
8066794,8788
382433083,1717
353299384,20
67964621,404
17334464,3
359373168,3222
16187761,52159
8898904,14580
108709662,1687
387068064,2152
11067393,50214
41971363,1185
371654602,526
23448266,5336
32452543,51
151252849,1
343885862,10
364754582,1425
265461145,42
19133803,22230
11482657,152395
404209438,5
286398266,5345
31111719,7
384092608,136
174952681,28175
392545814,119
170679778,2779
316737962,142461
398981846,0
397792198,1
11266511,13454
19043102,86
43149898,10
19591155,2203
49643470,52
43450960,662
405354193,2
96477389,602
22844488,840
22157967,3
1677139,46
396651347,16
296046436,26301
15877140,373808
73216498,2
27551254,393
301797941,1
12463139,10539
14971132,9
299557366,29573
85492011,5
2082382,126
96824938,6
52845603,337
110974,187413
51813795,38
272423412,2013
301981818,5
393313862,21
1740799,7
29235455,95555
324851498,3
346728462,2
24100681,8237
20273213,103
358642638,1103
195376293,629
270360622,60
405974911,1
301102172,277
52670036,79
208891438,210279
405807523,39
300684872,37
223510091,0
249599985,4648
188543761,15
104859762,7
285376771,12
34776529,7
3574400,74
375026476,8546
376870730,9
255408435,1566
249552484,6
2883718,40363
107158096,25901
173348897,210
246640269,126016
6846618,22584
387787444,687
363778455,127
387456544,1463
6969313,2360
391856479,5011
350749036,4
38090388,0
164626619,21
354874295,2047
178735628,7507
405866793,2
20560994,10215
396595401,6
11848519,19
393075191,141
58937,29846
381795052,511
401219419,7
21765401,355
20045088,281
248722022,58
40763482,10152
15451931,1222
394297567,0
241798445,224
384150407,46318
34360099,42
10026947,63968
7839972,11878
35566348,2210
302643251,5
50251486,77
155271,19
284712161,4
193147738,122682
124101382,85
53168508,39
273759522,22
2394787,8861
382223112,6
398681709,1
138832847,218789
52292013,2982
355362144,1
28081735,143
130969802,9299
28605461,6
12881044,127
103064681,618
28273597,49252
32637673,27508
96839765,282
151154928,81
34634529,19
325906879,25890
91765421,30266
89323236,5921
299351460,4752
380720529,21465
358484143,988
248900252,3
3386870,6631
389353131,6
362037121,3616
11164831,0
275206681,47
396180790,1
12062369,2713
32663042,545
20770337,105
26306107,88357
402767015,3
326228536,1
9533084,17767
22108290,17
390071140,105
29296192,376730
317768479,105
392503560,0
363949997,5
1743819,650
374185370,1609
402717143,159
386869863,20037
358086625,3672
26177442,1250
10217261,347449
405783003,3
35512892,64
244038107,2053
69838123,242
97657699,83161
16848214,3679
16098061,17814
245089751,7
313572201,2
171954158,1071
68969467,16643
11025961,726
19456751,886595
70723162,191
67205663,30
36726929,33747
243114838,2936
77282411,3
325294481,7445
60237737,246
393539864,1
21943225,56059
284030148,2
68097105,51317
10426532,4002
253780780,334
37045055,74181
21175480,13
298688386,9537
1918296,660431
9269717,328
318759943,40007
10862774,10
17591810,48
403903002,2
398468825,8
323934573,4549
403800963,1
405758593,0
405275487,2
30042311,780
88564685,7
540649,227026
22744488,19
22891066,4017
170968730,10
326084473,6
387792180,225
30483859,47
347412598,412
8536503,7462
145191338,11
65717203,196
86714701,5
40331949,5
394385477,616
354093883,177
25383162,1235
403892500,3
327616238,300
373404409,3837
356598873,0
40597630,0
382345703,2
372701873,5429
248939454,33
402094578,0
351127130,2
398196433,0
26023642,991667
360850903,1
13261105,204
65804099,216
318565591,46551
394706322,18
136990609,12622
288135775,2
21980996,19
4604799,232
336649293,45
172865331,1108
341190652,49
2665681,128
43855818,6
257261814,134
181150908,0
223337293,4
356567124,416
384076784,6
160206996,29
403921841,8
24869644,12127
29311735,3
103212955,9
4704461,0
14694454,9387
405213651,0
103323486,3
335124773,2187
105797311,65
16561793,13
383210774,5
77939302,12
26313759,34
25343945,42
54466737,4
403770085,36
298908932,321
260295843,0
280957930,30
12771156,466
386010930,81
13398320,2724
2615073,1
36227825,1606
8928831,13
66558138,0
321921770,4
247395101,92388
49960899,85560
3773981,825
380848141,17
391506127,781
399649089,4
275500891,22
13345481,55800
147167195,182
252115624,59
399002383,1146
314175562,0
38464573,2
367968374,294
44487856,12
382711394,160
125228946,8642
178790175,7762
305723008,282
240150314,24
229108563,41946
7883267,45483
97165551,3
8796768,6308
16983944,1
387307249,18
208926453,419
381452733,8
20143270,2
404990706,25
13583008,0
238276755,16
77060422,19
404857000,1
43133809,55
108260907,166
365171972,0
137401458,1078
38252724,3
282466606,30
293628629,2961
9584925,2235
298274011,26
397580364,20
389835485,13
101964492,15
19327066,41
325052777,405
396639355,86
29404500,2283
350345109,322
34908047,9705
384223836,9125
89291675,2
316561037,382
374420077,1250
28972584,20
39853464,98
404480689,1
261199940,70
404896511,35
392484862,72
239892706,4
384968541,49
321094740,163
82659607,3182
33698697,1194
87292869,0
301717442,1674
177305313,0
18851359,50117
273398049,5
15792948,52473
58403695,16
350626617,103
353449016,1107
38468272,1000
106240,3164
111246225,78
241726644,13
9303228,2211
38659482,1858
302959717,0
7053620,4
272584500,116
56906820,93
5632828,59
404874513,0
67865673,17
179221576,70
299094546,1488
166628564,41
356295646,9532
397157224,1
18773793,194
46428798,144
285771870,2
8013605,0
388264953,1
385837657,3
394263397,9
5104227,120
129960554,1052
387646710,4
585257,91
39116576,40
44787943,8296
17819768,1481729
14023833,21
255232140,10
151968809,207
294470036,514
108153371,0
392796911,1423
701205,22
19111402,6386
9794739,1
107092331,481
25178316,106
201354232,174
295892471,29
321429049,5464
301348187,4294
111204749,20006
280667722,5156
398503333,1529
405188673,1
398561969,243
31506080,94
33061808,67
313206093,2
258761814,2574
3285014,1798
359796868,506
1461498,393434
4790706,20
218850747,219
307911390,1
392335479,14
12753259,3
295166646,40
11638670,964
164650553,1
402818326,0
106413401,2123
23311674,0
387396820,373
402377300,0
322970977,77
35561853,4183
27196048,16
14714705,851
393122187,86
355857047,6
390641078,8
279543626,6
20324843,0
295945440,2448
216045628,0
262224136,447
382495474,14
19054878,14
37826734,2
382285745,4
38869608,2
15157103,16
24280903,1919
29381771,7
385495815,65
282412748,1
26264327,988
41144798,82
18597085,1
24086198,89
43619319,207387
6167526,21
272992402,6
352978647,13
92557954,4
74542015,647
15024128,2
390478110,76
11389649,477
49838426,374
361805522,2
205327289,10
390038405,1044
329886897,4223
2227972,51162
232501193,53537
381254070,4258
44254308,2
298090826,2
382289047,0
381918559,10
113210819,4666
273385044,3414
116519772,111
7807024,52080
95185187,18
84782178,26900
50041658,15
393704458,6
2908825,128
14531115,21
87685137,4
66395035,300
67835058,744
11859419,20
35901140,1666
74167851,5
214467524,1
21624922,3624
16009252,89
32489046,113543
65921643,15724
383015682,2
319948078,262
311611314,64
43554339,1410
355272906,16061
154172634,0
282110179,14
27432985,1151
403656545,18
387850263,887
282128946,0
38112046,42
69595891,820
397053518,50
359865627,2047
324059719,1
242486781,1526
389694089,64
333737816,6
393313472,4
26578989,0
10494038,34315
10671549,7
247294303,5
292032382,14
32411380,127
279707287,0
27952490,29
4029227,0
142497517,17249
336131541,3
20798103,1
289594834,98
27584004,77148
26371589,1077
217428111,45
392269869,7
85662041,221
11487909,136
3441574,25
396260877,21
19714687,29
2914155,402
49633158,77
299654351,54
244208847,3
243817532,4
35176449,8
71514254,4386
19589877,0
23572988,176
106600458,56
6891970,375
33267072,3270
158242837,12
400928331,8
10110945,2
60959859,16
164523546,869
404217958,0
175040509,7
306373365,285
188091029,17
54040,15851
84104209,117
8476599,175
395199113,2322
165546127,0
397659600,1022
372318107,56
299363619,2
401988359,42
145116725,0
353326487,70
266532151,172
402138866,3
384874992,4
19099697,858
69932004,1
183406853,8
359357989,289
392725099,9
404167988,2
3377608,2558
402418916,75
387054239,4884
67923896,1168
30764753,12
404110286,0
404644243,0
402942952,11
404846280,1
390795641,81
21406393,10343
11294169,21190
289983041,19
952894,95
22511498,2
43265570,5
304487295,7713
284175786,4
404814231,1
107156509,32002
14176889,3
364682152,6
404555058,20
197889075,188
402542894,2
295686331,5
66569386,8174
288209231,1
355353650,2
382806347,0
120100686,27
52209335,5
82404018,151577
38281362,3286
217472226,354
223997828,8652
8814736,6
357428377,0
279197975,2692
253433816,3287
291442621,33
383785098,23
317007509,128
184633707,799
367928051,2
199962456,52
8413783,690
399393773,0
14266240,3
378625134,26
13461012,11
52840504,0
150210934,687
77525469,3
143813045,24
404475762,0
39616769,0
22894787,3
125977663,63
614525,689
371857866,34
403038375,172
12577951,35
70550030,291
122612013,0
404678959,0
385082191,345
100894422,32
25520852,24
403731072,1
35403702,4
12590012,0
106144379,10217
25703812,97
403459527,1
391068288,974
37012068,1242
29867565,88
100818573,84
345610497,20
24392560,67
43695117,232932
22893452,1861
13266513,3554
88058993,204
843376,199
299561430,781
22198297,25
280519518,1753
31524639,20
17279651,116
15377576,6
2251168,14
42919216,9
389674352,14
7402620,8
392518772,7
3772520,259
90348654,157101
381554180,70
104323020,7781
389808007,6
297201187,21978
7463495,1143
162699947,948
2337579,104
2503788,7759
12987266,5
4937117,1477
94121973,5
23238187,170
393697500,1
114590382,51
358381589,44
10375955,83
51555177,0
404481324,0
387918468,8
352682610,82
403301438,0
321354182,24
387266676,2
12001286,141
88766771,175
243709845,0
61427176,2645
38317062,1812
209467124,6940
388179471,237
76412525,10
99615965,4828
393618873,2
33540542,80
39912396,5
95913348,783
43357460,1
380006229,1
7661272,1584
387805301,4115
306224448,0
121419193,2
5980548,67
16546171,114
357903730,3
384373363,24
323842478,18
85401660,701
54119726,4
27798433,348
397263087,20
12924289,237
6525409,282
401832734,0
1765366,442
38225542,17
201224096,6
98649646,113
17909482,4762
25142222,451
383952748,0
177950243,3
222602930,141
184399441,66348
383103421,0
372718332,1
49390744,9227
15541071,44442
285923551,1112
1927907,18
102978407,21
50448187,2961
281423970,5
353928661,94
295581391,3208
38471283,734
262144010,56
182614456,67
389292671,359
60344166,4
22687028,7
177798120,961
297242160,23097
102345476,28
5148609,266
89304520,17
96051750,5444
398298547,65
4301748,1736
37144130,1282
296472244,0
2501910,1
17751272,18
342105033,3
8631396,752
32187114,55305
5870268,37041
87645110,2050
7906670,335
348685882,10
386829531,340
1356444,3
1853114,49
384306154,416
284787181,25
226790686,1
86713524,3
12431999,1858
10720237,19956
16478959,65
9456935,3
396886586,4
63044933,103
158203428,91
80020132,140
75069525,1351
372778208,21
30957586,219
255618361,1664
180038091,122
5776615,43
75501851,37
401894206,4
279060380,1
8553646,3002
1966324,34572
325987142,17
40567206,191
357700590,1
285868596,0
31766424,229399
302313678,14
12799934,1
98788394,84
19981860,8241
39304265,807195
39612416,39
35535093,276
335094921,4090
88477391,16
7775045,36
375762736,197
3674072,325
23157840,12482
387100337,8
345612261,29019
393331175,1
57753563,181
332332788,0
51115651,93
98065685,272
40397089,10
23520495,43
12860672,10581
314915325,4
36708528,2441
382227184,174
40453123,8
404282722,1
390358600,2
67067294,1
13545373,1
200672476,1
358311214,209
109679875,50
278831671,9
370933467,47
333797532,8
334086227,0
14408599,27
252507483,2
271052890,496
365884923,59
5233326,30
39398871,3
10541501,51
3480777,51
399341169,2
95826854,57387
356843485,4
87780237,555
35726407,58
71526973,19
43847749,6
28217747,483
82172818,8
387704749,2425
27384122,2618
171588006,193
